groupName,level,members
AUDIO APPS,0,"AUDIBLE, PANDORA, SHAZAM, TIDAL"
INDICATE,1,"MEAN, SIGNIFY, SPELL, SUGGEST"
CHURCH OF ENGLAND WEDDING VOW VERBS,2,"CHERISH, HAVE, HOLD, LOVE"
MAGIC WORDS,3,"ABRACADABRA, PLEASE, PRESTO, THANK YOU"
IN PRISTINE CONDITION,0,"MINT, NEW, ORIGINAL, UNUSED"
MEDICAL ROLES,1,"ATTENDING, FELLOW, INTERN, RESIDENT"
SINGULAR NOUN IN A FAMOUS “JULIUS CAESAR” LINE,2,"COUNTRYMAN, EAR, FRIEND, ROMAN"
___ SQUARE,3,"PERFECT, POCKET, TIMES, TOWN"
UPSWING,0,"BOOM, RISE, SPIKE, SURGE"
THINGS WITH WHEELS,1,"DOLLY, ROLLERBLADE, SKATEBOARD, WAGON"
KINDS OF TAPE,2,"DUCT, ELECTRICAL, GAFFER, PACKING"
RETAIL CHAINS WITH A LETTER CHANGED,3,"BEST BOY, IDEA, KRONER, STABLES"
TERMS OF ENDEARMENT,0,"DARLING, LOVE, PUMPKIN, TREASURE"
THINGS YOU CAN DO WITH YOUR EYELIDS,1,"BAT, BLINK, FLUTTER, WINK"
SPORTS CARS,2,"DIABLO, MUSTANG, SPIDER, VIPER"
___ HUNT,3,"EGG, JOB, SCAVENGER, WITCH"
PROGRESS SLOWLY,0,"CRAWL, CREEP, DRAG, INCH"
WAYS TO ORDER A BEER,1,"BOTTLE, CAN, DRAFT, TAP"
CHEESY CORN SNACK UNIT,2,"BALL, CURL, DOODLE, PUFF"
___ EFFECT,3,"BUTTERFLY, DOMINO, HALO, PLACEBO"
SEEN IN A KITCHEN,0,"COUNTER, FRIDGE, RANGE, SINK"
GROUP OF ADVISORS,1,"BOARD, CABINET, COUNCIL, PANEL"
CORE EXERCISES,2,"BOAT, CRUNCH, MOUNTAIN CLIMBER, PLANK"
KINDS OF EARRINGS,3,"CHANDELIER, DROP, HOOP, STUD"
HEARTWARMING,0,"MOVING, SWEET, TENDER, TOUCHING"
SNEAKING SUSPICION,1,"FEELING, HUNCH, IMPRESSION, SENSE"
LEGAL SESSION,2,"HEARING, INQUIRY, PROCEEDING, TRIAL"
EASY ___,3,"CHAIR, LISTENING, MONEY, STREET"
EQUIP,0,"FURNISH, OUTFIT, PROVISION, STOCK"
INDIVIDUALITY,1,"BEING, CHARACTER, EGO, SELF"
FURNITURE,2,"CHEST, CONSOLE, VANITY, WARDROBE"
WORDS WITH APOSTROPHES REMOVED,3,"CANT, ID, SHELL, WERE"
THINGS THAT ARE FUZZY,0,"CATERPILLAR, FLEECE, PEACH, PIPE CLEANER"
THINGS WITH SHELLS,1,"CLAM, EGG, NUT, TURTLE"
FIGURES IN “SHREK”,2,"DONKEY, DRAGON, OGRE, PRINCESS"
MAGIC ___,3,"CARPET, KINGDOM, MARKER, MUSHROOM"
DVR BUTTONS,0,"PAUSE, PLAY, RECORD, STOP"
GROUNDBREAKING,1,"DIFFERENT, NEW, NOVEL, ORIGINAL"
COMMUNICATE THROUGH WRITING,2,"CORRESPOND, MESSAGE, TEXT, WRITE"
THINGS WITH FEET,3,"BIPED, FURNITURE, POEM, YARDSTICK"
FOOD-RELATED JUMBLES,0,"HASH, SALAD, SCRAMBLE, STEW"
PUBLIC STANDING,1,"CHARACTER, IMAGE, NAME, REPUTATION"
INFO ON A MUSEUM PLACARD,2,"ARTIST, MEDIUM, TITLE, YEAR"
ANAGRAMS OF FAMOUS PAINTERS,3,"DIAL, EGADS, MONTE, YOGA"
ESCAPADE,0,"ANTIC, CAPER, EXPLOIT, STUNT"
KINDS OF PICKLES,1,"DILL, KOSHER, SOUR, SWEET"
RISQUÉ,2,"ADULT, BLUE, SPICY, SUGGESTIVE"
CUT THE ___,3,"CHEESE, CORD, DECK, MUSTARD"
CONTORTED,0,"BENT, GNARLY, TWISTED, WARPED"
SMALLEST AMOUNT,1,"LICK, OUNCE, SHRED, TRACE"
ALGEBRA TERMS,2,"EXPONENT, POWER, RADICAL, ROOT"
WORDS BEFORE “ROOM” TO MEAN LAVATORY,3,"BATH, POWDER, REST, THRONE"
BARREL-SHAPED CONTAINER,0,"CASK, CYLINDER, DRUM, TANK"
GUIDE,1,"PILOT, USHER, SHEPHERD, STEER"
N.F.L. TEAM MEMBER,2,"COWBOY, JET, RAM, RAVEN"
THINGS THAT SWING,3,"GOLFER, PENDULUM, SALOON DOORS, SWING"
CHOCOLATE BARS,0,"CRUNCH, DOVE, MARS, PAYDAY"
GIST,1,"CORE, MEAT, SUBSTANCE, THRUST"
KINDS OF BRAS,2,"DEMI, PUSH-UP, SPORTS, WIRELESS"
___ BIRD,3,"BIG, EARLY, LADY, SUE"
COMPLAIN,0,"BELLYACHE, CARP, CRAB, GRUMBLE"
VEGETABLE UNITS,1,"CLOVE, FLORET, SPEAR, STALK"
LAPTOP SPECS,2,"RAM, RESOLUTION, SPEED, STORAGE"
FEATURES OF JUSTICE PERSONIFIED,3,"BLINDFOLD, ROBE, SCALES, SWORD"
THINGS THAT ARE YELLOW,0,"CANARY, LEMON, MINION, MUSTARD"
BUILDING ADD-ONS,1,"ADDITION, ANNEX, EXTENSION, WING"
CONCERNS FOR A DENTIST,2,"CALCULUS, CAVITY, PLAQUE, TARTAR"
WORDS THAT SEEM LONGER WRITTEN THAN SPOKEN,3,"COLONEL, PHARAOH, WEDNESDAY, WORCESTERSHIRE"
DEPLETE,0,"DRAIN, EMPTY, EXHAUST, SAP"
PLAY MUSIC WITH PASSION,1,"GROOVE, JAM, ROCK, SHRED"
WORDS ON A RESTAURANT RECEIPT,2,"TAX, TIP, TOTAL, SIGNATURE"
FORMS OF SUGAR,3,"CUBE, GRAIN, POWDER, SYRUP"
FISSURE,0,"CRACK, HOLE, LEAK, PUNCTURE"
ELEMENTS OF WRITING,1,"LETTER, PHRASE, SENTENCE, WORD"
INSTRUMENTS YOU BLOW INTO,2,"JUG, PIPE, RECORDER, WHISTLE"
___ OF TIME,3,"NICK, PASSAGE, SANDS, WASTE"
THINGS THAT PREVENT LEAKS,0,"CAP, COVER, PLUG, SEAL"
KINDS OF HATS,1,"BERET, DERBY, PILLBOX, SNAPBACK"
COLLEGE FOOTBALL TEAM MEMBERS,2,"GATOR, SOONER, VOLUNTEER, WOLVERINE"
GO ___,3,"BANANAS, COMMANDO, FIGURE, ROGUE"
ALLIANCE,0,"ASSOCIATION, GUILD, LEAGUE, UNION"
CLOSE-FITTING ,1,"CLINGY, SLEEK, SLINKY, SNUG"
OCCASIONS WHEN ONE MIGHT KNEEL,2,"APOLOGY, DUBBING, PRAYER, PROPOSAL"
WHAT AN APOSTROPHE MIGHT INDICATE,3,"CONTRACTION, FOOT, POSSESSIVE, QUOTATION"
USED IN HAIR CARE,0,"COMB, DRYER, HAIRSPRAY, ROLLERS"
MONTHLY EXPENSES,1,"GAS, INTERNET, PHONE, RENT"
THINGS WITH SPOTS,2,"DALMATIAN, DIE, DOMINO, LADYBUG"
___ CRAB,3,"FIDDLER, HERMIT, HORSESHOE, SPIDER"
AREA OF EXPERTISE,0,"CONCENTRATION, FIELD, FOCUS, SPECIALTY"
WAYS TO UNLOCK A DEVICE,1,"FACE, FINGERPRINT, PASSWORD, PIN"
PASTA SHAPES,2,"EAR, ELBOW, RIBBON, WHEEL"
DOUBLE ___,3,"AGENT, DRIBBLE, JEOPARDY, STANDARD"
SOUND LIKE A DOG,0,"BARK, BAY, HOWL, SNARL"
"BROADCAST, AS ONLINE MEDIA",1,"AIR, PLAY, RUN, STREAM"
COCKTAIL-MAKING VERBS,2,"GARNISH, MUDDLE, STIR, STRAIN"
"ORGANIZATIONAL STRUCTURES, METAPHORICALLY",3,"CHAIN, LADDER, PYRAMID, TREE"
KINDS OF SHIRTS,0,"FLANNEL, OXFORD, POLO, TEE"
SPHERES IN MILK TEA,1,"BOBA, BUBBLE, PEARL, TAPIOCA"
"MARINE INVERTEBRATES, FAMILIARLY",2,"CORAL, JELLY, SPONGE, STAR"
STARTS OF PASTA NAMES,3,"FETT, PENN, TORTE, ZIT"
PUBLICITY,0,"ATTENTION, COVERAGE, EXPOSURE, PRESS"
POINT OF VIEW,1,"ANGLE, LENS, PERSPECTIVE, POSITION"
WORK COMMUNICATION PLATFORMS,2,"MEET, SLACK, TEAMS, ZOOM"
“___ ISLAND”,3,"FANTASY, LOVE, SHUTTER, TREASURE"
TELLING OF EVENTS,0,"ACCOUNT, CHRONICLE, DESCRIPTION, STORY"
SECRETED BY TREES,1,"GUM, LATEX, RESIN, SAP"
THINGS ON STICKS,2,"BALL-IN-CUP, CORN DOG, COTTON SWAB, LOLLIPOP"
BLACK OR RED,3,"BALANCE SHEET, CHECKERS, LICORICE, ROULETTE"
CAREEN,0,"HEAVE, LURCH, PITCH, REEL"
WHAT A NOUN MIGHT BE,1,"IDEA, PERSON, PLACE, THING"
ELECTRONIC DANCE MUSIC GENRES,2,"AMBIENT, HOUSE, JUNGLE, TRANCE"
WORDS AFTER “ASH”,3,"BLOND, TRAY, TREE, WEDNESDAY"
ATTAIN,0,"EARN, LAND, SCORE, WIN"
LARGE GROUP,1,"CROWD, FLOCK, HOST, SEA"
PARTS OF A SHIP,2,"ANCHOR, BOW, BRIDGE, DECK"
