Time,Min Swaps,True Answer Groups,User Answer Groups
92.237,0,"[['GNOME', 'GOBLIN', 'OGRE', 'TROLL'], ['DITTO', 'LIKEWISE', 'SAME', 'SECOND'], ['ENERGY', 'FIRE', 'JUICE', 'ZIP'], ['CELL', 'CONTACT', 'DIGITS', 'NUMBER']]","[['GNOME', 'GOBLIN', 'OGRE', 'TROLL'], ['DITTO', 'LIKEWISE', 'SAME', 'SECOND'], ['ENERGY', 'FIRE', 'JUICE', 'ZIP'], ['CELL', 'CONTACT', 'DIGITS', 'NUMBER']]"
201.781,0,"[['BOTTOM', 'BUNS', 'SEAT', 'TAIL'], ['TARANTINO', 'SPIELBERG', 'HITCHCOCK', 'KUBRICK'], ['HOOK', 'NANA', 'PETER', 'WENDY'], ['DEN', 'HIVE', 'LAIR', 'NEST']]","[['BOTTOM', 'BUNS', 'SEAT', 'TAIL'], ['TARANTINO', 'SPIELBERG', 'HITCHCOCK', 'KUBRICK'], ['HOOK', 'NANA', 'PETER', 'WENDY'], ['DEN', 'HIVE', 'LAIR', 'NEST']]"
132.462,2,"[['FOCUS', 'RING', 'SILENT', 'VIBRATE'], ['CARDAMOM', 'CLOVE', 'CORIANDER', 'CUMIN'], ['GOBLET', 'SNIFTER', 'TUMBLER', 'STEIN'], ['RADIOLAB', 'SERIAL', 'UP FIRST', 'WTF']]","[['FOCUS', 'RING', 'SILENT', 'VIBRATE'], ['CARDAMOM', 'CLOVE', 'CORIANDER', 'CUMIN'], ['GOBLET', 'SNIFTER', 'UP FIRST', 'SERIAL'], ['RADIOLAB', 'STEIN', 'TUMBLER', 'WTF']]"
197.004,2,"[['ANKLET', 'BANGLE', 'BROOCH', 'PENDANT'], ['BET', 'E', 'HALLMARK', 'USA'], ['CRIB', 'DIGS', 'JOINT', 'PAD'], ['COUNTER', 'MIXER', 'RANGE', 'SINK']]","[['ANKLET', 'BANGLE', 'BROOCH', 'PENDANT'], ['COUNTER', 'SINK', 'MIXER', 'E'], ['DIGS', 'CRIB', 'RANGE', 'PAD'], ['USA', 'HALLMARK', 'JOINT', 'BET']]"
96.737,0,"[['7', 'BAR', 'BELL', 'CHERRY'], ['LASSO', 'SHIELD', 'SWORD', 'TIARA'], ['CARROT', 'COFFEE', 'POUND', 'SPONGE'], ['BANANA', 'COCONUT', 'MANGO', 'PINEAPPLE']]","[['7', 'BAR', 'BELL', 'CHERRY'], ['LASSO', 'SHIELD', 'SWORD', 'TIARA'], ['CARROT', 'COFFEE', 'POUND', 'SPONGE'], ['BANANA', 'COCONUT', 'MANGO', 'PINEAPPLE']]""83.51279544830322,0,""['ATE', 'FOR', 'TOO', 'WON']; ['PAPER', 'ROCK', 'SCISSORS', 'SHOOT']; ['FLOOR', 'HORSE', 'RINGS', 'VAULT']; ['ARIES', 'LEO', 'CANCER', 'CAPRICORN']","['LEO', 'CANCER', 'CAPRICORN', 'ARIES']; ['ROCK', 'PAPER', 'SCISSORS', 'SHOOT']; ['FOR', 'TOO', 'WON', 'ATE']; ['VAULT', 'HORSE', 'FLOOR', 'RINGS']"
78.18945813179016,0,"['ENOUGH', 'MERCY', 'STOP', 'UNCLE'], ['DIVIDE', 'FORK', 'PART', 'SPLIT'], ['IODINE', 'IOTA', 'MYSELF', 'ONE'], ['BLOW', 'LICK', 'SOCK', 'STRIKE']","['FORK', 'SPLIT', 'DIVIDE', 'PART'], ['STRIKE', 'SOCK', 'BLOW', 'LICK'], ['MERCY', 'ENOUGH', 'UNCLE', 'STOP'], ['ONE', 'IOTA', 'MYSELF', 'IODINE']"
107.00942325592041,1,"['ARMY', 'COLONY', 'HERD', 'SCHOOL'], ['BAGEL', 'CHEERIO', 'DONUT', 'LIFESAVER'], ['FLUE', 'GRATE', 'LOG', 'POKER'], ['D', 'L', 'M', 'V']","['L', 'V', 'M', 'D'], ['GRATE', 'POKER', 'FLUE', 'LOG'], ['SCHOOL', 'CHERRIO', 'DONUT', 'LIFESAVER', 'BAGEL'], ['COLONY', 'SCHOOL', 'ARMY', 'HERD']"
85.61816668510437,1,"['BOARDWALK', 'CHANCE', 'GO', 'JAIL'], ['BARK', 'BRANCH', 'ROOT', 'TRUNK'], ['BELLY', 'HOT', 'PANIC', 'SNOOZE'], ['AGAIN', 'HALF', 'NECK', 'SO']","['BARK', 'TRUNK', 'ROOT', 'BRANCH'], ['JAIL', 'BOARDWALK', 'GO', 'CHANCE'], ['SNOOZE', 'PANIC', 'HOT', 'HALF'], ['SO', 'BELLY', 'AGAIN', 'NECK']"
37.89091777801514,0,"['DIP', 'DROP', 'FALL', 'SINK'], ['BIT', 'JOKE', 'ROUTINE', 'SKETCH'], ['TARANTINO', 'SPIELBERG', 'HITCHCOCK', 'KUBRICK'], ['MONET', 'PICASSO', 'DAVINCI', 'VANGOGH']","['SPIELBERG', 'KUBRICK', 'HITCHCOCK', 'TARANTINO'], ['VANGOGH', 'PICASSO', 'DAVINCI', 'MONET'], ['DROP', 'FALL', 'SINK', 'DIP'], ['ROUTINE', 'BIT', 'SKETCH', 'JOKE']"
93.56804919242859,0,"['DISPLAY', 'EXHIBIT', 'PRESENT', 'SHOW'], ['BEDROOM', 'DEN', 'KITCHEN', 'STUDY'], ['LORIS', 'SLOTH', 'SNAIL', 'TORTOISE'], ['FLASH', 'HEARTBEAT', 'SECOND', 'WINK']","['LORIS', 'SLOTH', 'TORTOISE', 'SNAIL'], ['PRESENT', 'DISPLAY', 'EXHIBIT', 'SHOW'], ['WINK', 'FLASH', 'SECOND', 'HEARTBEAT'], ['DEN', 'STUDY', 'BEDROOM', 'KITCHEN']"
